Шаг: 0.0 | Значение Y: 0.0
Шаг: 0.16666666666666666 | Значение Y: 0.0
Шаг: 0.3333333333333333 | Значение Y: 0.016
Шаг: 0.5 | Значение Y: 0.04032
Шаг: 0.6666666666666666 | Значение Y: 0.06886400000000001
Шаг: 0.8333333333333333 | Значение Y: 0.099448832
Шаг: 1.0 | Значение Y: 0.13091221504
Шаг: 1.1666666666666665 | Значение Y: 0.16263670169600003
Шаг: 1.3333333333333333 | Значение Y: 0.1942955965808641
Шаг: 1.5 | Значение Y: 0.22571734703013902
Шаг: 1.6666666666666665 | Значение Y: 0.2568131654456444
Шаг: 1.8333333333333333 | Значение Y: 0.2875384000007144
Шаг: 2.0 | Значение Y: 0.3178719177104987
Шаг: 2.1666666666666665 | Значение Y: 0.347805101159582
Шаг: 2.333333333333333 | Значение Y: 0.3773359762797582
Шаг: 2.5 | Значение Y: 0.40646607869482854
Шаг: 2.6666666666666665 | Значение Y: 0.4351987817024747
Шаг: 2.833333333333333 | Значение Y: 0.4635384043628038
Шаг: 3.0 | Значение Y: 0.4914897359432791
Шаг: 3.1666666666666665 | Значение Y: 0.5190577825772044
Шаг: 3.333333333333333 | Значение Y: 0.5462476325168086
Шаг: 3.5 | Значение Y: 0.5730643846769088
Шаг: 3.6666666666666665 | Значение Y: 0.5995131109520533
Шаг: 3.833333333333333 | Значение Y: 0.6255988365531963
Шаг: 4.0 | Значение Y: 0.6513265299556974
